gender,age_range,district,city,level_of_education,level_of_employment,usage_status,usage_rank,purpose,apps,ui_ux,security,open_status
Male,36 - 55,Colombo,Thalawathugoda,Master’s Defree,Architecture and engineering,Yes,1 - 5 times per day,For online money transfer to family and friends;To pay bills / reloads / standing orders;Loan payments;To check balance and transaction history;To submit online requests to banks;Manage savings accounts;Mange current accounts;Manage fixed deposits;Top up mobile credits;Communicate with bank,People’s Wave – People’s Bank;Nations Mobile Banking – Nations Trust Bank;Frimi - Nations Trust Bank;HSBC ,Neutral,Satisfied,Satisfied
Male,26 - 35,Puttalam,Chilaw,Bachelor’s Degree or equivalent,,No,,,,,,
Male,18 - 25,Gampaha,Kadawatha ,Bachelor’s Degree or equivalent,Government,Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;Top up mobile credits,People’s Wave – People’s Bank,Satisfied,Very Satisfied,Neutral
Male,18 - 25,Badulla,Bandarawela,Diploma  or equivalent,,Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;Top up mobile credits,Combank Digital – Commercial Bank;Nations Mobile Banking – Nations Trust Bank,Very Satisfied,Satisfied,Satisfied
Male,26 - 35,Kandy,,Bachelor’s Degree or equivalent,"Computing, IT",Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Top up mobile credits,SOLO – Hatton National Bank;SC Mobile Sri Lanka – Standard Chartered;Nations Mobile Banking – Nations Trust Bank;Frimi - Nations Trust Bank,Satisfied,Neutral,Satisfied
Male,Above 55,Kandy,Kundasale ,Bachelor’s Degree or equivalent,Consultant,Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage savings accounts;Mange current accounts,BApp – Bank of Ceylon;BOC Smart Pay - Bank of Ceylon;Sampath Bank Mobile App - Sampath Bank,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied
Male,26 - 35,Kalutara,Panadura ,Bachelor’s Degree or equivalent,Communications,Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;Manage savings accounts,BApp – Bank of Ceylon;Flash - Commercial Bank,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied
Female,18 - 25,Colombo,Boralesgamuwa,Bachelor’s Degree or equivalent,Education,No,,,,,,
Female,18 - 25,Matara,Matra,Bachelor’s Degree or equivalent,Architecture and engineering,Yes,1 - 5 times per day,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;To submit online requests to banks;Manage fixed deposits,BApp – Bank of Ceylon;BOC Smart Pay - Bank of Ceylon;People’s Wave – People’s Bank;Sampath Bank Mobile App - Sampath Bank,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied
Male,26 - 35,Kalutara,Wadduwa,Bachelor’s Degree or equivalent,Architecture and engineering,Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history,Combank Digital – Commercial Bank,Unsatisfied,Satisfied,Neutral
Female,26 - 35,Colombo,Nugegoda ,Bachelor’s Degree or equivalent,,Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history,People’s Wave – People’s Bank,Satisfied,Very Satisfied,Satisfied
